accession,group,description,url
A0AVT1,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A0JLT2,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A1L3X0,GO:0005783,"endoplasmic reticulum",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005783
A1Z1Q3,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A274,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A274,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A2A288,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A288,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A2A2P1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A2V1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A2V2,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A3L9,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2A3R5,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A2ABK1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2ABK1,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A2ABK2,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2ABK2,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A2ABK4,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2ABK4,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A2IDD5,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A2IDD5,GO:0005783,"endoplasmic reticulum",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005783
A2IDD5,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A2RU30,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2TJX0,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2TJX0,GO:0005794,"Golgi apparatus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005794
A2VCS9,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A2VCS9,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A2VCS9,GO:0005794,"Golgi apparatus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005794
A3KFK1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A3KFK2,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A4D0V7,GO:0005783,"endoplasmic reticulum",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005783
A4D1B5,GO:0005794,"Golgi apparatus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005794
A4D1E1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A4D1E1,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A4D2Q0,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A4D2Q0,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
A5D8V6,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A5D8V6,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A5D8V6,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
A5D8W3,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A5D8W3,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A5YKK6,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A5YKK6,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A5YKK6,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
A6H8Z3,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6H8Z3,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6H8Z3,GO:0005856,"cytoskeleton",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005856
A6NC17,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NCI0,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A6NCI0,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A6NDA1,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6NDA1,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NDA1,GO:0005856,"cytoskeleton",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005856
A6NDA1,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A6NDV4,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A6NED2,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NED2,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A6NEM2,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6NEM2,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A6NER6,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NF31,GO:0005856,"cytoskeleton",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005856
A6NF48,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6NFA1,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
A6NFA1,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
A6NFY7,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
A6NG51,GO:0005856,"cytoskeleton",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005856
A6NG79,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6NGB9,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
A6NGB9,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NGJ0,GO:0005737,"cytoplasm",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005737
A6NGJ0,GO:0005886,"plasma membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005886
