accession,group,description,url
A0AVK6,GO:0016070,"RNA metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016070
A0AVK6,GO:0032501,"multicellular organismal process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032501
A0AVK6,GO:0032502,"developmental process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032502
A0AVK6,GO:0065007,"biological regulation",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0065007
A0AVT1,GO:0006464,"cellular protein modification process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006464
A0AVT1,GO:0006508,"proteolysis",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006508
A0AVT1,GO:0008152,"metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008152
A0AVT1,GO:0044237,"cellular metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044237
A0PJZ3,GO:0005975,"carbohydrate metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005975
A0PJZ3,GO:0006464,"cellular protein modification process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006464
A0PJZ3,GO:0008152,"metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008152
A1E959,GO:0032501,"multicellular organismal process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032501
A1E959,GO:0032502,"developmental process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032502
A1L3X0,GO:0006082,"organic acid metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006082
A1L3X0,GO:0042180,"cellular ketone metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042180
A1L3X0,GO:0044255,"cellular lipid metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044255
A1X283,GO:0016044,"cellular membrane organization",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016044
A1X283,GO:0022411,"cellular component disassembly",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0022411
A1X283,GO:0032501,"multicellular organismal process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032501
A1X283,GO:0032502,"developmental process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0032502
A1X283,GO:0043062,"extracellular structure organization",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043062
A1X283,GO:0044237,"cellular metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044237
A1X283,GO:0051641,"cellular localization",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051641
A1Z1Q3,GO:0006464,"cellular protein modification process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006464
A1Z1Q3,GO:0008152,"metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008152
A1Z1Q3,GO:0009116,"nucleoside metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009116
A1Z1Q3,GO:0009987,"cellular process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009987
A1Z1Q3,GO:0046483,"heterocycle metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046483
A1Z1Q3,GO:0050896,"response to stimulus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050896
A2A288,GO:0007049,"cell cycle",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007049
A2A288,GO:0016043,"cellular component organization",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016043
A2A288,GO:0016049,"cell growth",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016049
A2A288,GO:0065007,"biological regulation",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0065007
A2IDD5,GO:0006936,"muscle contraction",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006936
A2IDD5,GO:0050879,"multicellular organismal movement",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050879
A2RUC4,GO:0006396,"RNA processing",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006396
A2RUC4,GO:0008152,"metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008152
A2RUC4,GO:0009116,"nucleoside metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009116
A2RUC4,GO:0043412,"macromolecule modification",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043412
