accession,group,description,url
A2P2R3,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
A5Z2X5,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
A5Z2X5,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
D6VPM8,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
D6VPM8,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
D6VTK4,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
D6W196,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
D6W196,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
I2HB52,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
I2HB70,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
O13297,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
O13297,GO:0043234,"protein complex",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043234
O13329,GO:0005694,"chromosome",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005694
O13329,GO:0005730,"nucleolus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005730
O13511,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
O13511,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13512,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13514,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13516,GO:0005622,"intracellular",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005622
O13516,GO:0005730,"nucleolus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005730
O13516,GO:0015935,"small ribosomal subunit",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0015935
O13516,GO:0030684,"preribosome",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030684
O13518,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13520,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13522,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13523,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13525,GO:0005739,"mitochondrion",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005739
O13525,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13527,GO:0005622,"intracellular",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005622
O13527,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
O13529,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
O13529,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13530,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13533,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13535,GO:0005622,"intracellular",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005622
O13535,GO:0005634,"nucleus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
O13537,GO:0005575,"cellular_component",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005575
O13537,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13539,GO:0000346,"transcription export complex",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000346
O13539,GO:0000347,"THO complex",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000347
O13539,GO:0008023,"transcription elongation factor complex",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008023
O13540,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
O13543,GO:0016020,"membrane",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016020
