accession,group,description,url
A2P2R3,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
A2P2R3,GO:0016740,"transferase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016740
A5Z2X5,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
D6VPM8,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
D6VTK4,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
D6W196,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
D6W196,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
E9PAE3,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
E9PAE3,GO:0008233,"peptidase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008233
I2HB52,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
I2HB70,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13297,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O13297,GO:0016740,"transferase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016740
O13297,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
O13329,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13511,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13512,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13516,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13516,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O13525,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13527,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13527,GO:0008233,"peptidase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008233
O13527,GO:0016740,"transferase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016740
O13527,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
O13527,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
O13529,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13535,GO:0000166,"nucleotide binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000166
O13535,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13535,GO:0008233,"peptidase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008233
O13535,GO:0016740,"transferase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016740
O13535,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
O13535,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
O13537,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13539,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13539,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O13547,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O13556,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13559,GO:0000166,"nucleotide binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000166
O13559,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13559,GO:0004386,"helicase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004386
O13563,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O13565,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13577,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13578,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13585,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O13587,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O14455,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O14455,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O14455,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O14464,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O14467,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O14467,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O14468,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O42831,GO:0016491,"oxidoreductase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016491
O43137,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O60200,GO:0003674,"molecular_function",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003674
O74302,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
