accession,group,description,url
A0JNT1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A0JNT9,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A0S860,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1A549,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A1A549,GO:0003682,"chromatin binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003682
A1A549,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1A550,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A1A550,GO:0003682,"chromatin binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003682
A1A550,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1BN54,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1E5L0,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A1EGX6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1EGX6,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
A1KZZ4,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
A1KZZ4,GO:0009975,"cyclase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009975
A1KZZ4,GO:0016829,"lyase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016829
A1KZZ4,GO:0042277,"peptide binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0042277
A1L341,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1L349,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A1Y9I9,GO:0016740,"transferase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016740
A1YIY0,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A259,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
A2A259,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A259,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A259,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
A2A3Z2,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A400,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A401,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A404,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A405,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A409,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A409,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A412,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A412,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A464,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A468,GO:0003682,"chromatin binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003682
A2A4A6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A4B1,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
A2A4B3,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
A2A4H9,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A4K2,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
A2A4U9,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A4W9,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A517,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A519,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A520,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A521,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A542,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A542,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A543,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A543,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A545,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A545,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A547,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
A2A5C2,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5C3,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5D3,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5D3,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
A2A5D3,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5D4,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5D4,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
A2A5D4,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5F5,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5F6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5I4,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5I4,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5I6,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5I6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5J5,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5J6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5J7,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5J8,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5J9,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5K6,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5K6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5K8,GO:0008233,"peptidase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0008233
A2A5L1,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
A2A5L1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5N1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5R8,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5R8,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5S3,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
A2A5S3,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5V1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5V2,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5V3,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5V4,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5Y6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A5Z6,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A610,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A610,GO:0009975,"cyclase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009975
A2A610,GO:0016829,"lyase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016829
A2A6A1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A6A2,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A6D0,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A6D1,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A6D2,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
A2A6D9,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
