accession,group,description,url
D6VTK4,GO:0004871,"signal transducer activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004871
D6W196,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
D6W196,GO:0043167,"ion binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043167
O13297,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O13297,GO:0016787,"hydrolase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016787
O13329,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13516,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13516,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O13539,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O13539,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O13547,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O13559,GO:0004386,"helicase activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004386
O13563,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O14455,GO:0003676,"nucleic acid binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003676
O14455,GO:0005198,"structural molecule activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005198
O14455,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O14467,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
O74700,GO:0005215,"transporter activity",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005215
O74700,GO:0005515,"protein binding",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
