Accession,Gene
IPI00000001,STAU1
IPI00000005,NRAS
IPI00000006,HRAS
IPI00000012,SLC30A10
IPI00000013,CTSL2
IPI00000015,SRSF4
IPI00000023,GABRG2
IPI00000024,PCDH1
IPI00000026,CAMK1G
IPI00000027,ADCYAP1
IPI00000030,PPP2R5D
IPI00000033,MLLT3
IPI00000035,VN1R3
IPI00000041,RHOB
IPI00000044,PDGFB
IPI00000045,IL1RN
IPI00000046,KCNQ1DN
IPI00000047,TMCO4
IPI00000048,IL20
IPI00000049,TNFSF10
IPI00000051,PFDN1
IPI00000057,COG2
IPI00000058,KCNJ13
IPI00000059,CD58
IPI00000070,LDLR
IPI00000073,EGF
IPI00000075,TGFB1
IPI00000076,NGF
IPI00000077,RNASEH1
IPI00000087,SCN2B
IPI00000102,GNRH1
IPI00000104,RNGTT
IPI00000105,MVP
IPI00000106,STAT4
IPI00000110,ZNF337
IPI00000111,CHST9
IPI00000115,CNIH4
IPI00000118,ICAM4
IPI00000119,PDE6G
IPI00000124,OR2W1
IPI00000129,UQCR10
IPI00000130,SST
IPI00000131,SLC30A2
IPI00000133,BOK
IPI00000135,NT5DC1
IPI00000137,GNPTG
IPI00000138,MGAT1
IPI00000141,ZBTB37
IPI00000143,KRTAP4-4
IPI00000144,OXT
IPI00000146,NT5C1A
IPI00000149,CASP8
IPI00000151,ITGB6
IPI00000155,GLYR1
IPI00000156,LIG3
IPI00000160,POMC
IPI00000162,NGDN
IPI00000163,CTNNAL1
IPI00000171,TSC22D4
IPI00000173,LRCH4
IPI00000180,CFC1
IPI00000181,MRPS24
IPI00000182,TRIM54
IPI00000184,SCOC
IPI00000190,CD81
IPI00000192,SON
IPI00000201,LRP3
IPI00000203,LRP6
IPI00000206,GPR174
IPI00000207,DDX24
IPI00000211,HCAR1
IPI00000230,TPM1
IPI00000234,SLC4A9
IPI00000240,PLA2G12B
IPI00000247,EBPL
IPI00000252,GABARAPL3
IPI00000257,GHRLOS2
IPI00000264,R3HCC1
IPI00000265,FAM171A1
IPI00000270,RNASE7
IPI00000274,GLIS2
IPI00000276,TXLNG2P
IPI00000279,ZC3H15
IPI00000282,RETNLB
IPI00000284,HES7
IPI00000299,IRS2
IPI00000305,MED11
IPI00000306,LRRC61
IPI00000309,TRIM63
IPI00000321,TBX22
IPI00000330,C9orf80
IPI00000334,C6orf35
IPI00000335,HINT2
IPI00000350,METTL21B
IPI00000352,DYRK1B
IPI00000354,NR2E1
IPI00000357,ARC
IPI00000375,CAPS2
IPI00000388,ZNF175
IPI00000390,OLFM3
IPI00000398,NUSAP1
IPI00000425,ATP6V0A2
IPI00000436,CDH22
IPI00000454,ZAN
IPI00000455,KIF3A
IPI00000459,PRRG1
IPI00000460,PRRG2
IPI00000477,ARPC2
IPI00000494,SNORD21;RPL5
IPI00000497,SNHG12
IPI00000498,UGT2B28
IPI00000513,CDH1
IPI00000526,SPRY4
IPI00000550,LOC100128922
IPI00000567,NANS
IPI00000579,CCDC167
IPI00000581,OTUB1
IPI00000594,SAMD11
IPI00000606,TTC4
IPI00000612,TMEM50A
IPI00000632,CREB3L3
IPI00000636,OR10H1
IPI00000643,BAG2
IPI00000655,SLC16A2
IPI00000656,MAU2
IPI00000660,TUB
IPI00000663,MLYCD
IPI00000684,UAP1
IPI00000685,CDK7
IPI00000686,RBM19
IPI00000687,TOB1
IPI00000690,AIFM1
IPI00000691,CLDN1
IPI00000692,CLIC3
IPI00000695,GNA14
IPI00000700,KLK14
IPI00000706,DAGLA
IPI00000712,NFE2L2
IPI00000722,ANAPC11
IPI00000725,ZNF451
IPI00000728,USP15
IPI00000731,AOAH
IPI00000735,TSPAN13
IPI00000736,TSPAN15
IPI00000737,TSPAN12
IPI00000754,KIAA1656
IPI00000757,SNAI1
IPI00000758,KIAA1652
IPI00000760,DDAH2
IPI00000761,LY6G6C
IPI00000764,PLEKHM1;MIR4315-1;MIR4315-2
IPI00000769,KIF22
IPI00000775,LRIG1
IPI00000781,FOXJ2
IPI00000783,PSMB8
IPI00000784,MEF2D
IPI00000787,PSMB9
IPI00000792,CRYZ
IPI00000793,HLA-DMB
IPI00000794,POU1F1
IPI00000795,AP1AR
IPI00000807,MYO5A
IPI00000811,PSMB6
IPI00000812,CNGA3
IPI00000816,YWHAE
IPI00000818,WDR13
IPI00000821,MRPL16
IPI00000824,NTRK3
IPI00000828,PENK
IPI00000832,PDYN
IPI00000833,CGA
IPI00000837,GRM3
IPI00000839,GRM4
IPI00000845,DTNA
IPI00000846,CHD4
IPI00000848,TMPRSS13
IPI00000849,SPRR2G;SPRR2C;SPRR2D
IPI00000851,TSHB
IPI00000852,RNF24
IPI00000853,FSHB
IPI00000854,LHB
IPI00000856,FERMT2
IPI00000858,RDBP
IPI00000860,FMOD
IPI00000861,LASP1
IPI00000865,STARD3
IPI00000867,CACNB2
IPI00000868,MATK
IPI00000870,CGB8;CGB;CGB7;CGB5;CGB1
IPI00000871,PRL
IPI00000873,VARS
IPI00000874,PRDX1
IPI00000875,EEF1G
IPI00000877,HYOU1
IPI00000878,TEC
IPI00000879,TXK
IPI00000881,LAG3
IPI00000885,FRK
IPI00000889,GH1;CSHL1
IPI00000890,GH2
IPI00000891,CSH1;CSH2
IPI00000892,CARKD
IPI00000893,ZFP36
IPI00000897,HELZ
IPI00000898,POLE
IPI00000901,TIMP3
IPI00000912,JTB
IPI00000914,CALCA
IPI00000918,DKFZP434A062
IPI00000924,MUC5B
IPI00000930,MUC5B
IPI00000931,MUC5B
IPI00000935,PLN
IPI00000940,PTH
IPI00000948,TBL2
IPI00000949,CRYM
IPI00000959,VIP
IPI00000961,GHRH
IPI00000974,SAMD10
IPI00000977,MAP3K11
IPI00000980,TOMM7
IPI00000982,PPY
IPI00000996,KIAA1539
IPI00001007,MSI1
IPI00001008,ZNF341
IPI00001022,PNKD
IPI00001053,MMACHC
IPI00001055,HES2
IPI00001076,FRG1B
IPI00001077,KRTAP4-6
IPI00001091,AFG3L2
IPI00001098,OSBPL2
IPI00001102,NDN
IPI00001116,CCL27
IPI00001117,IPP
IPI00001120,LINGO2
IPI00001134,RBM7
IPI00001141,TIMM22
IPI00001143,OR1A2
IPI00001145,AP4S1
IPI00001146,LSM6
IPI00001150,ZNF217
IPI00001151,SLC17A9
IPI00001159,GCN1L1
IPI00001180,ZNF839
IPI00001182,CCDC34
IPI00001189,FYB
IPI00001192,KIAA1370
IPI00001233,TRIM7
IPI00001245,CNTNAP3B;CNTNAP3;LOC643827;LOC643792
IPI00001286,SLC6A18
IPI00001287,C20orf72
IPI00001300,DNAJA2
IPI00001302,SNORA6;RPSAP15;SNORA62;RPSA
IPI00001314,LOC100288908
IPI00001317,RHOBTB1
IPI00001322,H19
IPI00001344,ZSCAN21
IPI00001348,SFI1
IPI00001356,OR2H2
IPI00001359,NUCKS1
IPI00001364,GCFC1
IPI00001372,SPINLW1;SPINLW1-WFDC6
IPI00001382,TAP2
IPI00001385,CBX7
IPI00001399,AJAP1
IPI00001400,IL12RB1
IPI00001413,ONECUT2
IPI00001423,KLHL7
IPI00001424,PCDHB9
IPI00001425,PCDHB7
IPI00001426,PCDHB6
IPI00001427,PDCD2
IPI00001428,PCDHB5
IPI00001429,PCDHB4
IPI00001430,ABCB4
IPI00001431,PCDHB3
IPI00001432,PCDHB2
IPI00001433,PCDHB15
IPI00001434,PCDHB14
IPI00001436,RND2
IPI00001437,RND3
IPI00001441,FTCD
IPI00001449,PCDHB13
IPI00001450,PCDHB12
IPI00001451,PCDHB11
IPI00001453,INA
IPI00001458,KNTC1
IPI00001461,TXLNG2P
IPI00001466,EML4
IPI00001468,SCGB1D1
IPI00001469,SCGB1D2
IPI00001477,DDR1
IPI00001485,BMP15
IPI00001493,PCDHA9
IPI00001495,PCDHA8
IPI00001496,PCDHA5
IPI00001497,PCDHA3
IPI00001498,PCDHA2
IPI00001503,CTAG2
IPI00001504,TCL1B
IPI00001506,NPY
IPI00001508,IGF2;INS;INS-IGF2
IPI00001510,PCDHA13
IPI00001511,PCDHA11
IPI00001513,PCDHA10
IPI00001515,PCDHA1
IPI00001516,PCDHAC2
IPI00001517,KLRC1
IPI00001519,SSX1
IPI00001520,SSX2B;SSX2
IPI00001521,CLDN16
IPI00001525,ZNF169
IPI00001538,FXC1
IPI00001539,ACAA2
IPI00001541,TIMM9
IPI00001543,TIMM10
IPI00001545,WAS
IPI00001551,HOXD1
IPI00001554,R3HDM2
IPI00001557,SLC9A5
IPI00001559,KLK4
IPI00001560,CDKN2A
IPI00001562,PCYT1B
IPI00001563,CDKN2B
IPI00001564,CDKN2C
IPI00001565,KIR3DL1
IPI00001567,PRDM14
IPI00001568,ATP6V1D
IPI00001574,KREMEN2
IPI00001575,OSBPL7
IPI00001576,ZBED2
IPI00001577,LRFN3
IPI00001578,C17orf62
IPI00001580,FYCO1
IPI00001583,C7orf68
IPI00001584,KIR2DS3
IPI00001586,ENTPD2
IPI00001587,KIR2DS5
IPI00001589,TIMM13
IPI00001590,LENEP
IPI00001591,DDX54
IPI00001592,GPNMB
IPI00001593,PRCP
IPI00001597,LOXL1
IPI00001600,C16orf53
IPI00001602,ULBP3
IPI00001603,ACPT
IPI00001610,IGF1
IPI00001611,IGF2;INS;INS-IGF2
IPI00001613,NOS2
IPI00001617,SOX4
IPI00001618,RAB39
IPI00001619,OCLM
IPI00001624,GAST
IPI00001631,OR1A1
IPI00001632,KIAA1522
IPI00001633,FLRT2
IPI00001637,SLC10A1
IPI00001638,PRELID1
IPI00001639,KPNB1
IPI00001640,N6AMT1
IPI00001641,ORC6
IPI00001645,OR7E35P
IPI00001649,DNAJC15
IPI00001651,POGK
IPI00001654,PCM1
IPI00001655,C16orf80
IPI00001661,RCC1
IPI00001662,OPCML
IPI00001663,HTRA2
IPI00001670,LTA
IPI00001671,TNF
IPI00001672,SUGT1
IPI00001674,TAC3
IPI00001675,CLEC5A
IPI00001676,NPLOC4
IPI00001677,ODF1
IPI00001678,OR51B4
IPI00001683,CSAG2;CSAG3
IPI00001684,ZNF180
IPI00001685,RAI2
IPI00001687,NR1I3
IPI00001690,CUL7
IPI00001691,LOC100132319
IPI00001699,PYCARD
IPI00001701,DCDC5
IPI00001707,BRD7
IPI00001710,C11orf2
IPI00001712,CTNNA3
IPI00001714,ETV7
IPI00001716,PUS1
IPI00001717,INSL5
IPI00001719,C5orf62
IPI00001722,NTHL1
IPI00001723,ATP10D
IPI00001726,USP35
IPI00001729,MMP24
IPI00001730,FHOD1
IPI00001732,DMRT2
IPI00001733,DMRT1
IPI00001734,PSAT1
IPI00001735,NCOR2
IPI00001737,GSX2
IPI00001738,NUP88
IPI00001743,TSHZ3
IPI00001753,MYH4
IPI00001754,F11R
IPI00001755,GPC6
IPI00001757,RBM8A
IPI00001758,ODF2
IPI00001759,OLR1
IPI00001762,OPHN1
IPI00001767,PTPRO
IPI00001769,PTPRO
IPI00001772,PTPRO
IPI00001780,USP16
IPI00001786,USP36
IPI00001787,PBRM1
IPI00001790,FNIP2
IPI00001793,RFNG
IPI00001796,TNFRSF18
IPI00001813,PHRF1
IPI00001814,PAK7
IPI00001824,SOX21
IPI00001830,CBX1
IPI00001835,ZBTB4
IPI00001845,HIGD1B
IPI00001849,KIAA1530
IPI00001862,KLF2
IPI00001863,WIF1
IPI00001867,SNX11
IPI00001869,PAPPA
IPI00001871,PAWR
IPI00001872,PCDHGC3
IPI00001881,SNX10
IPI00001883,SNX9
IPI00001885,SNX8
IPI00001888,NR2E3
IPI00001891,AUP1
IPI00001893,PCDH7
IPI00001895,PCDH8
IPI00001896,KLHDC10
IPI00001914,FKBP7
IPI00001921,GPR44
IPI00001922,ST14
IPI00001923,ARL5A
IPI00001933,CCDC113
IPI00001952,ENDOD1
IPI00001954,BACE2
IPI00001960,CLIC4
IPI00001962,CACNG2
IPI00001965,LOC100128185
IPI00001968,RP9P
IPI00001985,VPS18
IPI00001999,OIP5
IPI00002013,TCEAL2
IPI00002054,ZNF687
