Accession,Protein
IPI00000001,O95793
IPI00000005,P01111
IPI00000006,P01112
IPI00000012,Q6XR72
IPI00000013,O60911
IPI00000015,Q08170
IPI00000023,P18507
IPI00000024,Q08174
IPI00000026,Q96NX5
IPI00000030,Q14738
IPI00000035,Q9BXE9
IPI00000041,P62745
IPI00000044,P01127
IPI00000045,P18510
IPI00000046,Q9H478
IPI00000047,Q5TGY1
IPI00000048,Q9NYY1
IPI00000049,P50591
IPI00000051,O60925
IPI00000057,Q14746
IPI00000058,O60928
IPI00000070,P01130
IPI00000073,P01133
IPI00000075,P01137
IPI00000076,P01138
IPI00000077,O60930
IPI00000087,O60939
IPI00000102,P01148
IPI00000104,O60942
IPI00000105,Q14764
IPI00000106,Q14765
IPI00000110,Q9Y3M9
IPI00000111,Q7L1S5
IPI00000115,Q9P003
IPI00000118,Q14773
IPI00000119,P18545
IPI00000124,Q9Y3N9
IPI00000130,P61278
IPI00000131,Q9BRI3
IPI00000133,Q9UMX3
IPI00000137,Q9UJJ9
IPI00000138,P26572
IPI00000141,Q5TC79
IPI00000143,Q9BYR3
IPI00000144,P01178
IPI00000146,Q9BXI3
IPI00000149,Q14790
IPI00000151,P18564
IPI00000155,Q49A26
IPI00000156,P49916
IPI00000160,P01189
IPI00000162,Q8NEJ9
IPI00000163,Q9UBT7
IPI00000171,Q9Y3Q8
IPI00000173,O75427
IPI00000182,Q9BYV2
IPI00000184,Q9UIL1
IPI00000190,P60033
IPI00000192,P18583
IPI00000201,O75074
IPI00000203,O75581
IPI00000206,Q9BXC1
IPI00000211,Q9BXC0
IPI00000234,Q96Q91
IPI00000240,Q9BX93
IPI00000247,Q9BY08
IPI00000252,Q9BY60
IPI00000264,Q9Y3T6
IPI00000265,Q5VUB5
IPI00000270,Q9H1E1
IPI00000274,Q9BZE0
IPI00000276,Q9BZA4
IPI00000279,Q8WU90
IPI00000282,Q9BQ08
IPI00000284,Q9BYE0
IPI00000305,Q9P086
IPI00000309,Q969Q1
IPI00000321,Q9Y458
IPI00000330,Q9NRY2
IPI00000334,Q9NWH2
IPI00000335,Q9BX68
IPI00000350,Q96AZ1
IPI00000352,Q9Y463
IPI00000357,Q7LC44
IPI00000375,Q9BXY5
IPI00000388,Q9Y473
IPI00000390,Q96PB7
IPI00000398,Q9BXS6
IPI00000425,Q9Y487
IPI00000436,Q9UJ99
IPI00000454,Q9Y493
IPI00000455,Q9Y496
IPI00000459,O14668
