from(10090),to(9606)
NP_031408,NP_000007
NP_059062,NP_000009
NP_659033,NP_000010
NP_001103674,NP_001096
NP_033187,NP_000014
NP_033764,NP_000017
NP_001005847,NP_000018
NP_031454,NP_000020
NP_032551,NP_000022
NP_033783,NP_000023
NP_001028475,NP_000027
NP_038503,NP_000033
NP_032013,NP_000034
NP_038504,NP_000035
NP_031508,NP_001231367
NP_598529,NP_000039
NP_075602,NP_001121557
NP_001103227,NP_000043
NP_954665,NP_898871
NP_033895,NP_000050
NP_033906,NP_000053
NP_038512,NP_000054
NP_057913,NP_000056
NP_598643,NP_000057
NP_031627,NP_000061
NP_033980,NP_000064
NP_035746,NP_000065
NP_031415,NP_001034612
NP_033733,NP_000071
NP_034878,NP_000072
NP_082318,NP_000073
NP_038519,NP_000074
NP_001139779,NP_000076
NP_031769,NP_000080
NP_031764,NP_000085
NP_057894,NP_000086
NP_001263177,NP_000087
NP_031783,NP_000088
NP_034079,NP_000089
NP_034106,NP_000090
NP_031819,NP_000091
NP_031832,NP_000092
NP_082395,NP_000098
NP_031887,NP_000099
NP_740748,NP_000101
NP_031929,NP_996915
NP_001129533,NP_001188326
NP_031953,NP_000108
NP_001139820,NP_001108225
NP_038541,NP_000110
NP_034275,NP_000111
NP_034279,NP_000112
NP_598419,NP_000113
NP_663590,NP_000117
NP_032002,NP_000121
NP_032005,NP_000124
NP_032006,NP_000125
NP_058621,NP_000126
NP_001036138,NP_001230672
NP_034306,NP_000128
NP_038544,NP_000130
NP_032024,NP_000131
NP_034339,NP_000134
NP_038551,NP_000136
NP_080075,NP_114409
NP_032077,NP_000139
NP_032105,NP_000144
NP_058601,NP_000145
NP_057867,NP_000146
NP_083079,NP_000149
NP_032123,NP_000150
NP_032127,NP_000151
NP_032128,NP_000152
NP_001273299,NP_001229328
NP_034418,NP_000156
NP_032150,NP_000157
NP_032156,NP_000159
NP_613061,NP_000161
NP_536686,NP_006520
NP_034456,NP_000164
NP_061232,NP_000165
NP_032181,NP_000166
NP_666232,NP_000168
NP_032206,NP_000169
NP_034960,NP_000170
NP_849209,NP_000173
NP_663533,NP_000174
NP_038575,NP_000178
NP_038579,NP_000181
NP_032280,NP_000182
NP_035667,NP_000183
NP_062297,NP_000186
NP_061292,NP_000190
NP_034623,NP_000192
NP_034628,NP_000193
NP_032351,NP_000194
NP_031712,NP_000195
NP_038591,NP_000197
NP_032413,NP_000198
NP_032840,NP_000200
NP_001005608,NP_000204
NP_038850,NP_000205
NP_034719,NP_000206
NP_034725,NP_000208
NP_032450,XP_006724009
NP_001116205,NP_000213
NP_034791,NP_000214
NP_001264857,NP_001017402
NP_032519,NP_000221
NP_036022,NP_000222
NP_036020,NP_000223
NP_001076657,NP_000225
NP_032306,NP_000227
NP_032535,NP_000228
NP_038597,NP_000229
NP_776101,NP_000231
NP_032617,NP_001120972
NP_001230689,NP_001273331
NP_081086,NP_000240
NP_032654,NP_000242
NP_032668,NP_000244
NP_032679,NP_000247
NP_001243010,NP_000251
NP_034995,NP_000252
NP_032695,NP_000253
NP_038820,NP_000254
NP_032983,NP_000255
NP_035013,NP_000257
NP_035027,NP_001035957
NP_032746,NP_000262
NP_058598,NP_001121650
NP_035081,NP_000264
NP_058674,NP_000265
NP_796189,NP_000267
NP_032803,NP_000268
NP_659093,NP_000273
NP_032832,NP_000274
NP_032846,NP_000276
NP_598786,NP_000277
NP_032848,NP_000279
NP_001171350,NP_000283
NP_955517,NP_000284
NP_038658,NP_001009944
NP_062619,NP_001005337
NP_035252,NP_000293
NP_058577,NP_000294
NP_032875,NP_001116229
NP_032927,NP_000298
NP_032937,NP_000300
NP_035303,NP_000304
NP_032986,NP_000305
NP_065648,NP_000306
NP_001077404,NP_001171673
NP_035350,NP_000308
NP_001156777,NP_001165558
NP_001264259,NP_001124498
NP_077198,NP_000311
NP_033055,NP_000312
NP_032964,NP_000313
NP_033099,NP_000318
NP_035432,NP_000321
NP_001186234,NP_001121636
NP_573462,NP_000325
NP_036021,NP_000328
NP_899197,NP_000329
NP_062288,NP_000330
NP_001035916,NP_001139527
NP_035578,NP_000337
NP_038703,NP_001020029
NP_035615,NP_000340
NP_031404,NP_000341
NP_001123930,NP_000346
NP_001155187,NP_000350
NP_033403,NP_954987
NP_033404,NP_000352
NP_033432,NP_000354
NP_058065,NP_000358
NP_075025,NP_000359
NP_035778,NP_000360
NP_038725,NP_000362
NP_033497,NP_000364
NP_033504,NP_000365
NP_035853,NP_000370
NP_001258478,NP_000374
NP_033823,NP_000375
NP_848760,NP_000377
NP_065266,NP_000378
NP_038831,NP_001171536
NP_031695,NP_001207706
NP_061288,NP_000381
NP_034036,NP_000382
NP_031975,NP_000391
NP_034293,NP_001171554
NP_848476,NP_001008217
NP_034429,NP_000396
NP_034453,NP_000397
NP_001139292,NP_001076581
NP_032215,NP_000400
NP_032318,NP_000405
NP_034641,NP_000407
NP_032393,NP_000408
NP_115929,NP_000411
NP_034793,NP_000413
NP_038617,NP_000419
NP_038653,NP_000421
NP_076045,NP_001107657
NP_035007,NP_000424
NP_035023,NP_000425
NP_032742,NP_000426
NP_077150,NP_000427
NP_038656,NP_000430
NP_666198,NP_000431
NP_001157014,NP_958782
NP_899131,NP_000296
NP_001122077,NP_000438
NP_033045,NP_000439
NP_035475,NP_000441
NP_035518,NP_000443
NP_035564,NP_000445
NP_035622,NP_000446
NP_776094,NP_001027558
NP_032287,NP_000448
NP_033356,NP_000449
NP_038718,NP_000450
NP_033405,NP_000451
NP_031551,NP_000456
NP_035788,NP_000465
NP_031456,NP_000466
NP_033784,NP_000468
NP_033797,NP_000471
NP_001013836,NP_000472
NP_033828,NP_000476
NP_033556,NP_000480
NP_033862,NP_000481
NP_033907,NP_000482
NP_031799,NP_000487
NP_067464,NP_000496
NP_034298,NP_000497
NP_001104518,NP_000499
NP_598623,NP_068656
NP_032071,NP_001018090
NP_034405,NP_001177397
NP_034552,NP_000512
NP_034732,NP_000516
NP_038731,NP_003374
NP_001258645,NP_000520
NP_032649,NP_000521
NP_032795,NP_000522
NP_080111,NP_001171485
NP_035253,NP_000524
NP_705784,NP_000525
NP_573494,NP_000529
NP_033144,NP_000532
NP_001269000,NP_000533
NP_035551,NP_000534
NP_033353,NP_000536
NP_035770,NP_000537
NP_033443,NP_000538
NP_001034452,NP_000539
NP_001159411,NP_000540
NP_112479,NP_000541
NP_033533,NP_000542
NP_035838,NP_000543
NP_001106801,NP_000545
NP_032135,NP_000548
NP_666260,NP_000553
NP_032396,NP_783853
NP_034689,NP_000556
NP_034316,NP_000557
NP_034678,NP_000563
NP_034684,NP_000566
NP_032387,NP_000567
NP_032122,NP_001191236
NP_032383,NP_000576
NP_032392,NP_000577
NP_001230766,NP_000578
NP_067258,NP_000580
NP_032399,NP_000581
NP_033971,NP_000582
NP_038711,NP_000584
NP_038721,NP_000585
NP_034865,NP_000586
NP_032367,NP_000587
NP_032368,NP_000588
NP_032369,NP_001013416
NP_112445,NP_000591
NP_034557,NP_000592
NP_032739,NP_000594
NP_081338,NP_000597
NP_033981,NP_000601
NP_034644,NP_001121070
NP_059067,NP_000604
NP_038516,NP_000607
NP_001104745,NP_000609
NP_033877,NP_000614
NP_032365,NP_000617
NP_064303,NP_996826
NP_032375,NP_000619
NP_034638,NP_000620
NP_032703,NP_000622
NP_001076429,NP_001139280
NP_033871,NP_000624
NP_038699,NP_000627
NP_034474,NP_000628
NP_035837,NP_000629
NP_034307,NP_000630
NP_032382,NP_000631
NP_032376,NP_000632
NP_001074795,NP_000635
NP_034045,NP_001116868
NP_035476,NP_000646
NP_035707,NP_000651
NP_766549,NP_000654
NP_033729,NP_000656
NP_033761,NP_000668
NP_038488,NP_000669
NP_033763,NP_000673
NP_057870,NP_000678
NP_031466,NP_000688
NP_033792,NP_000689
NP_034860,NP_000691
NP_659149,NP_000692
NP_058543,NP_000697
NP_031559,NP_000700
NP_031565,NP_000701
NP_080954,NP_000703
NP_659172,NP_000704
NP_033905,NP_001243460
NP_001077085,NP_000711
NP_001104314,NP_000713
NP_031608,NP_000718
NP_112438,NP_000720
NP_038515,NP_000723
NP_031674,NP_000724
NP_034019,NP_001239312
NP_660111,NP_000734
NP_056545,NP_000735
NP_031416,NP_000737
NP_033731,NP_000738
NP_033732,NP_000739
NP_031786,NP_000746
NP_991338,NP_000747
NP_034099,NP_000749
NP_031808,NP_724781
NP_620392,NP_000778
NP_031858,NP_000779
NP_001177377,NP_000781
NP_031886,NP_000783
NP_034180,NP_001007024
NP_031903,NP_000787
NP_031968,NP_000790
NP_034327,NP_001244139
NP_032061,NP_000794
NP_034387,NP_000796
NP_034380,NP_000797
NP_034381,NP_000800
NP_032097,NP_000805
NP_032103,NP_000808
NP_034386,NP_000810
NP_062394,NP_000811
NP_062776,NP_000812
NP_001003685,NP_000814
NP_032171,NP_001076580
NP_032196,NP_001127879
NP_032197,NP_000825
NP_034480,NP_000826
NP_032198,NP_000827
NP_058672,NP_001264993
NP_862898,NP_000831
NP_032200,NP_000836
NP_034490,NP_000840
NP_059497,NP_000848
NP_032219,NP_001152862
NP_001239571,NP_001091683
NP_034612,NP_000854
NP_038589,NP_000860
NP_067333,NP_000862
NP_034624,NP_000864
