from(10090),to(9606)
ENSMUSP00000072483,ENSP00000359878
ENSMUSP00000099634,ENSP00000349297
ENSMUSP00000034547,ENSP00000265838
ENSMUSP00000088453,ENSP00000508189
ENSMUSP00000099451,ENSP00000262018
ENSMUSP00000023043,ENSP00000485525
ENSMUSP00000033920,ENSP00000264595
ENSMUSP00000030090,ENSP00000386284
ENSMUSP00000066040,ENSP00000497236
ENSMUSP00000088217,ENSP00000430075
ENSMUSP00000000049,ENSP00000205948
ENSMUSP00000025691,ENSP00000498466
ENSMUSP00000052648,ENSP00000363822
ENSMUSP00000020161,ENSP00000349446
ENSMUSP00000124274,ENSP00000307188
ENSMUSP00000021119,ENSP00000409976
ENSMUSP00000058840,ENSP00000345728
ENSMUSP00000140598,ENSP00000318351
ENSMUSP00000144150,ENSP00000369497
ENSMUSP00000023994,ENSP00000278407
ENSMUSP00000124417,ENSP00000338861
ENSMUSP00000031663,ENSP00000360281
ENSMUSP00000028749,ENSP00000380349
ENSMUSP00000002101,ENSP00000431445
ENSMUSP00000033466,ENSP00000359663
ENSMUSP00000028515,ENSP00000261007
ENSMUSP00000099616,ENSP00000497829
ENSMUSP00000106188,ENSP00000374443
ENSMUSP00000059211,ENSP00000501614
ENSMUSP00000031894,ENSP00000339867
ENSMUSP00000101416,ENSP00000364831
ENSMUSP00000031668,ENSP00000297268
ENSMUSP00000107701,ENSP00000506558
ENSMUSP00000003659,ENSP00000222271
ENSMUSP00000103964,ENSP00000264613
ENSMUSP00000055455,ENSP00000497326
ENSMUSP00000030345,ENSP00000360541
ENSMUSP00000028938,ENSP00000366124
ENSMUSP00000005185,ENSP00000291568
ENSMUSP00000017604,ENSP00000261623
ENSMUSP00000028696,ENSP00000256996
ENSMUSP00000106481,ENSP00000205402
ENSMUSP00000039429,ENSP00000359211
ENSMUSP00000029030,ENSP00000311854
ENSMUSP00000022718,ENSP00000366416
ENSMUSP00000002029,ENSP00000358857
ENSMUSP00000130585,ENSP00000362299
ENSMUSP00000099548,ENSP00000497777
ENSMUSP00000047551,ENSP00000355802
ENSMUSP00000006397,ENSP00000222139
ENSMUSP00000025241,ENSP00000285398
ENSMUSP00000034866,ENSP00000452762
ENSMUSP00000083204,ENSP00000356771
ENSMUSP00000033477,ENSP00000218099
ENSMUSP00000023820,ENSP00000274024
ENSMUSP00000045217,ENSP00000373952
ENSMUSP00000072788,ENSP00000364454
ENSMUSP00000032865,ENSP00000453347
ENSMUSP00000127373,ENSP00000278888
ENSMUSP00000157791,ENSP00000262093
ENSMUSP00000027810,ENSP00000355518
ENSMUSP00000040477,ENSP00000384708
ENSMUSP00000113499,ENSP00000002165
ENSMUSP00000008605,ENSP00000494643
