accession,group,description,url
D6VTK4,GO:0000003,"reproduction",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000003
D6VTK4,GO:0000746,"conjugation",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000746
D6VTK4,GO:0007154,"cell communication",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007154
D6VTK4,GO:0009987,"cellular process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009987
D6VTK4,GO:0022607,"cellular component assembly",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0022607
D6VTK4,GO:0050896,"response to stimulus",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0050896
D6VTK4,GO:0065003,"macromolecular complex assembly",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0065003
D6VTK4,GO:0065007,"biological regulation",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0065007
D6W196,GO:0006810,"transport",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006810
D6W196,GO:0009987,"cellular process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009987
D6W196,GO:0015931,"nucleobase-containing compound transport",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0015931
D6W196,GO:0051641,"cellular localization",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051641
O13297,GO:0006793,"phosphorus metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006793
O13329,GO:0000280,"nuclear division",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0000280
O13329,GO:0006259,"DNA metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006259
O13329,GO:0006260,"DNA replication",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006260
O13329,GO:0006323,"DNA packaging",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006323
O13329,GO:0007049,"cell cycle",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007049
O13329,GO:0007059,"chromosome segregation",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0007059
O13329,GO:0009987,"cellular process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009987
O13329,GO:0016070,"RNA metabolic process",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016070
O13329,GO:0016458,"gene silencing",http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016458
