protein,accession,geneid,authid,description,chromosome,locus,organism,short_accession
YP_009144708,atp6,24573110,,Atp6,MT,-,Saccharomyces cerevisiae
YP_009144710,atp9,24573116,,Atp9,MT,-,Saccharomyces cerevisiae
YP_009144707,atp8,24573117,,Atp8,MT,-,Saccharomyces cerevisiae
YP_009144706,cox1,24573120,,cytochrome c oxidase subunit 1,MT,-,Saccharomyces cerevisiae
YP_009144709,cytb,24573121,,cytochrome b,MT,-,Saccharomyces cerevisiae
YP_009144711,rps3,24573122,,ribosomal protein S3,MT,-,Saccharomyces cerevisiae
YP_009144712,cox2,24573139,,cytchrome c oxidase sububnit 2,MT,-,Saccharomyces cerevisiae
YP_009144713,cox3,24573142,,cytchrome c oxidase sububnit 3,MT,-,Saccharomyces cerevisiae
NP_009863,GEX1,850289,SGD:S000000575,glutathione exchanger,III,-,Saccharomyces cerevisiae
NP_009864,VBA3,850290,SGD:S000000574,basic amino acid transporter,III,-,Saccharomyces cerevisiae
NP_009865,YCL068C,850291,SGD:S000000573,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009866,HMLALPHA2,850292,SGD:S000000572,homeodomain mating type protein alpha2,III,-,Saccharomyces cerevisiae
NP_009867,HMLALPHA1,850293,SGD:S000000571,transcriptional co-activator mating type protein alpha,III,-,Saccharomyces cerevisiae
NP_001018030,CHA1,850295,SGD:S000000569,L-serine/L-threonine ammonia-lyase CHA1,III,-,Saccharomyces cerevisiae
NP_009870,VAC17,850296,SGD:S000000568,Vac17p,III,-,Saccharomyces cerevisiae
NP_009871,MRC1,850297,SGD:S000000566,chromatin-modulating protein MRC1,III,-,Saccharomyces cerevisiae
NP_009872,KRR1,850298,SGD:S000000564,ribosome biosynthesis protein KRR1,III,-,Saccharomyces cerevisiae
NP_009873,FYV5,850299,SGD:S000000563,Fyv5p,III,-,Saccharomyces cerevisiae
NP_065435,MIC10,850300,SGD:S000007547,Mic10p,III,-,Saccharomyces cerevisiae
NP_009874,PRD1,850301,SGD:S000000562,metalloendopeptidase,III,-,Saccharomyces cerevisiae
NP_009875,PEX34,850302,SGD:S000000561,Pex34p,III,-,Saccharomyces cerevisiae
NP_009876,KAR4,850303,SGD:S000000560,Kar4p,III,-,Saccharomyces cerevisiae
NP_009877,SPB1,850304,SGD:S000000559,27S pre-rRNA (guanosine2922-2'-O)-methyltransferase,III,-,Saccharomyces cerevisiae
NP_009878,PBN1,850305,SGD:S000000557,Pbn1p,III,-,Saccharomyces cerevisiae
NP_009879,LRE1,850306,SGD:S000000556,Lre1p,III,-,Saccharomyces cerevisiae
NP_009880,APA1,850307,SGD:S000000555,bifunctional AP-4-A phosphorylase/ADP sulfurylase,III,-,Saccharomyces cerevisiae
NP_009881,YCL049C,850308,SGD:S000000554,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009882,SPS22,850309,SGD:S000000553,Sps22p,III,-,Saccharomyces cerevisiae
NP_009883,POF1,850310,SGD:S000000552,nicotinamide-nucleotide adenylyltransferase,III,-,Saccharomyces cerevisiae
NP_009884,EMC1,850312,SGD:S000000550,Emc1p,III,-,Saccharomyces cerevisiae
NP_009886,MGR1,850313,SGD:S000000549,Mgr1p,III,-,Saccharomyces cerevisiae
NP_009887,PDI1,850314,SGD:S000000548,protein disulfide isomerase PDI1,III,-,Saccharomyces cerevisiae
NP_009889,YCL042W,850315,SGD:S000000547,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009890,GLK1,850317,SGD:S000000545,glucokinase,III,-,Saccharomyces cerevisiae
NP_009891,GID7,850318,SGD:S000000544,glucose-induced degradation complex subunit GID7,III,-,Saccharomyces cerevisiae
NP_009892,ATG22,850319,SGD:S000000543,Atg22p,III,-,Saccharomyces cerevisiae
NP_009893,SRO9,850320,SGD:S000000542,Sro9p,III,-,Saccharomyces cerevisiae
NP_009894,GFD2,850321,SGD:S000000541,Gfd2p,III,-,Saccharomyces cerevisiae
NP_009895,GRX1,850322,SGD:S000000540,dithiol glutaredoxin GRX1,III,-,Saccharomyces cerevisiae
NP_009896,LSB5,850323,SGD:S000000539,Lsb5p,III,-,Saccharomyces cerevisiae
NP_009897,MXR2,850324,SGD:S000000538,peptide-methionine (R)-S-oxide reductase,III,-,Saccharomyces cerevisiae
NP_009898,STE50,850325,SGD:S000000537,Ste50p,III,-,Saccharomyces cerevisiae
NP_009899,RRP7,850326,SGD:S000000536,Rrp7p,III,-,Saccharomyces cerevisiae
NP_009900,HIS4,850327,SGD:S000000535,trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase,III,-,Saccharomyces cerevisiae
NP_009901,BIK1,850328,SGD:S000000534,Bik1p,III,-,Saccharomyces cerevisiae
NP_009902,RNQ1,850329,SGD:S000000533,prion domain-containing protein RNQ1,III,-,Saccharomyces cerevisiae
NP_009903,FUS1,850330,SGD:S000000532,Fus1p,III,-,Saccharomyces cerevisiae
NP_065436,HBN1,850331,SGD:S000007548,putative nitroreductase,III,-,Saccharomyces cerevisiae
NP_009904,FRM2,850332,SGD:S000000589,type II nitroreductase,III,-,Saccharomyces cerevisiae
NP_009905,AGP1,850333,SGD:S000000530,amino acid transporter AGP1,III,-,Saccharomyces cerevisiae
NP_009907,KCC4,850334,SGD:S000000529,serine/threonine protein kinase,III,-,Saccharomyces cerevisiae
NP_065437,YCL021W-A,850338,SGD:S000007549,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009910,YCL020W,850339,SGD:S000000525,gag protein,III,-,Saccharomyces cerevisiae
NP_009909,YCL019W,850340,SGD:S000000524,gag-pol fusion protein,III,-,Saccharomyces cerevisiae
NP_009911,LEU2,850342,SGD:S000000523,3-isopropylmalate dehydrogenase,III,-,Saccharomyces cerevisiae
NP_009912,NFS1,850343,SGD:S000000522,cysteine desulfurase,III,-,Saccharomyces cerevisiae
NP_009913,DCC1,850344,SGD:S000000521,Dcc1p,III,-,Saccharomyces cerevisiae
NP_009914,BUD3,850345,SGD:S000000520,Bud3p,III,-,Saccharomyces cerevisiae
NP_009916,GBP2,850346,SGD:S000000517,single-stranded telomeric DNA-binding/mRNA-binding protein,III,-,Saccharomyces cerevisiae
NP_009917,SGF29,850347,SGD:S000000516,Sgf29p,III,-,Saccharomyces cerevisiae
NP_009918,ILV6,850348,SGD:S000000515,acetolactate synthase regulatory subunit,III,-,Saccharomyces cerevisiae
NP_009919,STP22,850349,SGD:S000000514,ubiquitin-binding ESCRT-I subunit protein STP22,III,-,Saccharomyces cerevisiae
NP_009922,LDB16,850351,SGD:S000000511,Ldb16p,III,-,Saccharomyces cerevisiae
NP_009923,PGS1,850352,SGD:S000000510,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,III,-,Saccharomyces cerevisiae
NP_009924,YCL002C,850353,SGD:S000000508,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009925,RER1,850354,SGD:S000000507,protein retrieval receptor,III,-,Saccharomyces cerevisiae
NP_009926,YCL001W-A,850355,SGD:S000007221,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_076878,YCL001W-B,850356,SGD:S000007596,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_001335748,YCR001W,850357,SGD:S000000594,uncharacterized protein,III,-,Saccharomyces cerevisiae
NP_009928,CDC10,850358,SGD:S000000595,septin CDC10,III,-,Saccharomyces cerevisiae
